Monitoring Date,Monitor Name,Plot ID,Species,Caged_Uncaged,Treated_Untreated,Number of Seedlings,% Flowering,% Seeding,Vigor,Evidence of Herbivory?,Type of Herbivory,Notes,% Coverage Ruderal Species,
2020/05/28,Sophia,1.1a,CaMe,Caged,Untreated,0,,,,,,,0,
2020/05/28,Sophia,1.1a,LuSu,Caged,Treated,8,,,,,,,0,
2020/05/28,Sophia,1.1b,LuSu,Uncaged,Treated,5,,,,,,,10,
2020/05/28,Sophia,1.1b,CaMe,Uncaged,Untreated,0,,,,,,,10,
2020/05/28,Sophia,1.1c,CaMe,Uncaged,Untreated,0,,,,,,,10,
2020/05/28,Sophia,1.1c,LuSu,Uncaged,Untreated,6,,,,,,,10,
2020/05/28,Sophia,1.1d,CaMe,Caged,Untreated,0,,,,,,,20,
2020/05/28,Sophia,1.1d,LuSu,Caged,Untreated,3,,,,,,,20,
2020/05/28,Sophia,1.2a,AcSt,Caged,Untreated,60,,,,,,,5,
2020/05/28,Sophia,1.2a,SiBe,Caged,Treated,0,,,,,,,5,
2020/05/28,Sophia,1.2a,CaDe,Caged,Untreated,0,,,,,,,5,
2020/05/28,Sophia,1.2b,AcSt,Uncaged,Untreated,23,,,,,,,10,
2020/05/28,Sophia,1.2b,SiBe,Uncaged,Treated,0,,,,,,,10,
2020/05/28,Sophia,1.2b,CaDe,Uncaged,Untreated,0,,,,,,,10,
2020/05/28,Sophia,1.2c,SiBe,Uncaged,Untreated,0,,,,,,,5,
2020/05/28,Sophia,1.2c,CaDe,Uncaged,Untreated,20,,,,,,,5,
2020/05/28,Sophia,1.2c,AcSt,Uncaged,Untreated,45,,,,,,,5,
2020/05/28,Sophia,1.2d,AcSt,Caged,Untreated,32,,,,,,,5,
2020/05/28,Sophia,1.2d,SiBe,Caged,Untreated,0,,,,,,,5,
2020/05/28,Sophia,1.2d,CaDe,Caged,Untreated,1,,,,,,,5,
2020/05/28,Sophia,1.3a,LuBi,Caged,Treated,1,,,,,,,10,
2020/05/28,Sophia,1.3a,NuTe,Caged,Untreated,0,,,,,,,10,
2020/05/28,Sophia,1.3a,AnNu,Caged,Untreated,0,,,,,,,10,
2020/05/28,Sophia,1.3b,NuTe,Uncaged,Untreated,2,,,,,,,30,
2020/05/28,Sophia,1.3b,AnNu,Uncaged,Untreated,0,,,,,,,30,
2020/05/28,Sophia,1.3b,LuBi,Uncaged,Treated,1,,,,,,,30,
2020/05/28,Sophia,1.3c,LuBi,Uncaged,Untreated,1,,,,,,,30,
2020/05/28,Sophia,1.3c,NuTe,Uncaged,Untreated,1,,,,,,,30,
2020/05/28,Sophia,1.3c,AnNu,Uncaged,Untreated,0,,,,,,,30,
2020/05/28,Sophia,1.3d,AnNu,Caged,Untreated,0,,,,,,,40,
2020/05/28,Sophia,1.3d,LuBi,Caged,Untreated,0,,,,,,,40,
2020/05/28,Sophia,1.3d,NuTe,Caged,Untreated,6,,,,,,,40,
2020/05/28,Sophia,2.1a,CaMe,Caged,Untreated,0,,,,,,,10,
2020/05/28,Sophia,2.1a,LuSu,Caged,Treated,11,,,,,,,10,
2020/05/28,Sophia,2.1b,CaMe,Uncaged,Untreated,0,,,,,,,20,
2020/05/28,Sophia,2.1b,LuSu,Uncaged,Treated,4,,,,,,,20,
2020/05/28,Sophia,2.1c,CaMe,Uncaged,Untreated,0,,,,,,,25,
2020/05/28,Sophia,2.1c,LuSu,Uncaged,Untreated,4,,,,,,,25,
2020/05/28,Sophia,2.1d,LuSu,Caged,Untreated,8,,,,,,,25,
2020/05/28,Sophia,2.1d,CaMe,Caged,Untreated,0,,,,,,,25,
2020/05/28,Sophia,2.2a,AcSt,Caged,Untreated,15,,,,,,,10,
2020/05/28,Sophia,2.2a,SiBe,Caged,Treated,0,,,,,,,10,
2020/05/28,Sophia,2.2a,CaDe,Caged,Untreated,21,,,,,,,10,
2020/05/28,Sophia,2.2b,AcSt,Uncaged,Untreated,24,,,,,,,10,
2020/05/28,Sophia,2.2b,SiBe,Uncaged,Treated,0,,,,,,,10,
2020/05/28,Sophia,2.2b,CaDe,Uncaged,Untreated,11,,,,,,,10,
2020/05/28,Sophia,2.2c,AcSt,Uncaged,Untreated,35,,,,,,,10,
2020/05/28,Sophia,2.2c,SiBe,Uncaged,Untreated,0,,,,,,,10,
2020/05/28,Sophia,2.2c,CaDe,Uncaged,Untreated,0,,,,,,,10,
2020/05/28,Sophia,2.2d,AcSt,Caged,Untreated,32,,,,,,,10,
2020/05/28,Sophia,2.2d,SiBe,Caged,Untreated,0,,,,,,,10,
2020/05/28,Sophia,2.2d,CaDe,Caged,Untreated,21,,,,,,,10,
2020/05/28,Sophia,2.3a,LuBi,Caged,Treated,1,,,,,,,20,
2020/05/28,Sophia,2.3a,AnNu,Caged,Untreated,0,,,,,,,20,
2020/05/28,Sophia,2.3a,NuTe,Caged,Untreated,0,,,,,,,20,
2020/05/28,Sophia,2.3b,LuBi,Uncaged,Treated,0,,,,,,,40,
2020/05/28,Sophia,2.3b,AnNu,Uncaged,Untreated,0,,,,,,,40,
2020/05/28,Sophia,2.3b,NuTe,Uncaged,Untreated,1,,,,,,,40,
2020/05/28,Sophia,2.3c,LuBi,Uncaged,Untreated,0,,,,,,,40,
2020/05/28,Sophia,2.3c,AnNu,Uncaged,Untreated,0,,,,,,,40,
2020/05/28,Sophia,2.3c,NuTe,Uncaged,Untreated,6,,,,,,,40,
2020/05/28,Sophia,2.3d,LuBi,Caged,Untreated,0,,,,,,,40,
2020/05/28,Sophia,2.3d,NuTe,Caged,Untreated,0,,,,,,,40,
2020/05/28,Sophia,2.3d,AnNu,Caged,Untreated,0,,,,,,,40,
2020/05/28,Sophia,3.1a,CaMe,Caged,Untreated,0,,,,,,,0,
2020/05/28,Sophia,3.1a,LuSu,Caged,Treated,13,,,,,,,0,
2020/05/28,Sophia,3.1b,CaMe,Uncaged,Untreated,0,,,,,,,10,
2020/05/28,Sophia,3.1b,LuSu,Uncaged,Treated,6,,,,,,,10,
2020/05/28,Sophia,3.1c,CaMe,Uncaged,Untreated,0,,,,,,,40,
2020/05/28,Sophia,3.1c,LuSu,Uncaged,Untreated,3,,,,,,,40,
2020/05/28,Sophia,3.1d,CaMe,Caged,Untreated,0,,,,,,,10,
2020/05/28,Sophia,3.1d,LuSu,Caged,Untreated,8,,,,,,,10,
2020/05/28,Sophia,3.2a,AcSt,Caged,Untreated,9,,,,,,,30,
2020/05/28,Sophia,3.2a,SiBe,Caged,Treated,0,,,,,,,30,
2020/05/28,Sophia,3.2a,CaDe,Caged,Untreated,0,,,,,,,30,
2020/05/28,Sophia,3.2b,AcSt,Uncaged,Untreated,36,,,,,,,40,
2020/05/28,Sophia,3.2b,SiBe,Uncaged,Treated,0,,,,,,,40,
2020/05/28,Sophia,3.2b,CaDe,Uncaged,Untreated,7,,,,,,,40,
2020/05/28,Sophia,3.2c,AcSt,Uncaged,Untreated,21,,,,,,,40,
2020/05/28,Sophia,3.2c,SiBe,Uncaged,Untreated,0,,,,,,,40,
2020/05/28,Sophia,3.2c,CaDe,Uncaged,Untreated,3,,,,,,,40,
2020/05/28,Sophia,3.2d,AcSt,Caged,Untreated,8,,,,,,,40,
2020/05/28,Sophia,3.2d,SiBe,Caged,Untreated,0,,,,,,,40,
2020/05/28,Sophia,3.2d,CaDe,Caged,Untreated,0,,,,,,,40,
2020/05/28,Sophia,3.3a,LuBi,Caged,Treated,1,,,,,,,5,
2020/05/28,Sophia,3.3a,AnNu,Caged,Untreated,0,,,,,,,5,
2020/05/28,Sophia,3.3a,NuTe,Caged,Untreated,1,,,,,,,5,
2020/05/28,Sophia,3.3b,LuBi,Uncaged,Treated,0,,,,,,,5,
2020/05/28,Sophia,3.3b,AnNu,Uncaged,Untreated,0,,,,,,,5,
2020/05/28,Sophia,3.3b,NuTe,Uncaged,Untreated,0,,,,,,,5,
2020/05/28,Sophia,3.3c,LuBi,Uncaged,Untreated,0,,,,,,,10,
2020/05/28,Sophia,3.3c,AnNu,Uncaged,Untreated,0,,,,,,,10,
2020/05/28,Sophia,3.3c,NuTe,Uncaged,Untreated,0,,,,,,,10,
2020/05/28,Sophia,3.3d,LuBi,Caged,Untreated,0,,,,,,,10,
2020/05/28,Sophia,3.3d,NuTe,Caged,Untreated,2,,,,,,,10,
2020/05/28,Sophia,3.3d,AnNu,Caged,Untreated,0,,,,,,,10,
2020/05/28,Sophia,4.1a,CaMe,Caged,Untreated,0,,,,,,,60,
2020/05/28,Sophia,4.1a,LuSu,Caged,Treated,11,,,,,,,60,
2020/05/28,Sophia,4.1a,LuSu,Caged,Treated,6,,,,,,,50,
2020/05/28,Sophia,4.1b,CaMe,Uncaged,Untreated,0,,,,,,,50,
2020/05/28,Sophia,4.1c,CaMe,Uncaged,Untreated,0,,,,,,,60,
2020/05/28,Sophia,4.1c,LuSu,Uncaged,Untreated,1,,,,,,,60,
2020/05/28,Sophia,4.1d,CaMe,Caged,Untreated,0,,,,,,,50,
2020/05/28,Sophia,4.1d,LuSu,Caged,Untreated,7,,,,,,,50,
2020/05/28,Sophia,4.2a,AcSt,Caged,Untreated,7,,,,,,,60,
2020/05/28,Sophia,4.2a,SiBe,Caged,Treated,0,,,,,,,60,
2020/05/28,Sophia,4.2a,CaDe,Caged,Untreated,0,,,,,,,60,
2020/05/28,Sophia,4.2b,AcSt,Uncaged,Untreated,9,,,,,,,60,
2020/05/28,Sophia,4.2b,SiBe,Uncaged,Treated,0,,,,,,,60,
2020/05/28,Sophia,4.2b,CaDe,Uncaged,Untreated,1,,,,,,,60,
2020/05/28,Sophia,4.2c,AcSt,Uncaged,Untreated,18,,,,,,,60,
2020/05/28,Sophia,4.2c,SiBe,Uncaged,Untreated,0,,,,,,,60,
2020/05/28,Sophia,4.2c,CaDe,Uncaged,Untreated,3,,,,,,,60,
2020/05/28,Sophia,4.2d,AcSt,Caged,Untreated,14,,,,,,,60,
2020/05/28,Sophia,4.2d,SiBe,Caged,Untreated,0,,,,,,,60,
2020/05/28,Sophia,4.2d,CaDe,Caged,Untreated,7,,,,,,,60,
2020/05/28,Sophia,4.3a,LuBi,Caged,Treated,0,,,,,,,10,
2020/05/28,Sophia,4.3a,AnNu,Caged,Untreated,0,,,,,,,10,
2020/05/28,Sophia,4.3a,NuTe,Caged,Untreated,1,,,,,,,10,
2020/05/28,Sophia,4.3b,LuBi,Uncaged,Treated,1,,,,,,,5,
2020/05/28,Sophia,4.3b,AnNu,Uncaged,Untreated,0,,,,,,,5,
2020/05/28,Sophia,4.3b,NuTe,Uncaged,Untreated,0,,,,,,,5,
2020/05/28,Sophia,4.3c,AnNu,Uncaged,Untreated,0,,,,,,,5,
2020/05/28,Sophia,4.3c,LuBi,Uncaged,Untreated,4,,,,,,,5,
2020/05/28,Sophia,4.3c,NuTe,Uncaged,Untreated,0,,,,,,,5,
2020/05/28,Sophia,4.3d,LuBi,Caged,Untreated,8,,,,,,,5,
2020/05/28,Sophia,4.3d,AnNu,Caged,Untreated,0,,,,,,,5,
2020/05/28,Sophia,4.3d,NuTe,Caged,Untreated,0,,,,,,,5,
2020/05/28,Sophia,5.1a,CaMe,Caged,Untreated,0,,,,,,,60,
2020/05/28,Sophia,5.1a,LuSu,Caged,Treated,5,,,,,,,60,
2020/05/28,Sophia,5.1b,CaMe,Uncaged,Untreated,0,,,,,,,10,
2020/05/28,Sophia,5.1b,LuSu,Uncaged,Treated,8,,,,,,,10,
2020/05/28,Sophia,5.1c,CaMe,Uncaged,Untreated,0,,,,,,,50,
2020/05/28,Sophia,5.1c,LuSu,Uncaged,Untreated,3,,,,,,,50,
2020/05/28,Sophia,5.1d,CaMe,Caged,Untreated,0,,,,,,,10,
2020/05/28,Sophia,5.1d,LuSu,Caged,Untreated,10,,,,,,,10,
2020/05/28,Sophia,5.2a,AcSt,Caged,Untreated,11,,,,,,,5,
2020/05/28,Sophia,5.2a,SiBe,Caged,Treated,0,,,,,,,5,
2020/05/28,Sophia,5.2a,CaDe,Caged,Untreated,3,,,,,,,5,
2020/05/28,Sophia,5.2b,AcSt,Uncaged,Untreated,18,,,,,,,5,
2020/05/28,Sophia,5.2b,SiBe,Uncaged,Treated,0,,,,,,,5,
2020/05/28,Sophia,5.2b,CaDe,Uncaged,Untreated,8,,,,,,,5,
2020/05/28,Sophia,5.2c,AcSt,Uncaged,Untreated,61,,,,,,,10,
2020/05/28,Sophia,5.2c,SiBe,Uncaged,Untreated,0,,,,,,,10,
2020/05/28,Sophia,5.2c,CaDe,Uncaged,Untreated,9,,,,,,,10,
2020/05/28,Sophia,5.2d,AcSt,Caged,Untreated,40,,,,,,,10,
2020/05/28,Sophia,5.2d,SiBe,Caged,Untreated,0,,,,,,,10,
2020/05/28,Sophia,5.2d,CaDe,Caged,Untreated,0,,,,,,,10,
2020/05/28,Sophia,5.3a,LuBi,Caged,Treated,3,,,,,,,10,
2020/05/28,Sophia,5.3a,AnNu,Caged,Untreated,0,,,,,,,10,
2020/05/28,Sophia,5.3a,NuTe,Caged,Untreated,0,,,,,,,10,
2020/05/28,Sophia,5.3b,LuBi,Uncaged,Treated,1,,,,,,,5,
2020/05/28,Sophia,5.3b,AnNu,Uncaged,Untreated,0,,,,,,,5,
2020/05/28,Sophia,5.3b,NuTe,Uncaged,Untreated,0,,,,,,,5,
2020/05/28,Sophia,5.3c,LuBi,Uncaged,Untreated,9,,,,,,,5,
2020/05/28,Sophia,5.3c,AnNu,Uncaged,Untreated,0,,,,,,,5,
2020/05/28,Sophia,5.3c,NuTe,Uncaged,Untreated,0,,,,,,,5,
2020/05/28,Sophia,5.3d,LuBi,Caged,Untreated,0,,,,,,,5,
2020/05/28,Sophia,5.3d,AnNu,Caged,Untreated,0,,,,,,,5,
2020/05/28,Sophia,5.3d,NuTe,Caged,Untreated,5,,,,,,,5,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
